atr_period,mult,macd_fast,macd_slow,macd_sig,vol_min,sharpe,ann_return,total_return,max_dd,calmar,n_trades,win_rate,avg_trade,in_market,param_label
14,2.0,12,21,7,1.0,4.696949872948719,13.504222611435914,38.28895461736592,-0.13374151256800995,100.97255782544538,41,0.43902439024390244,2.9680282846022985,17.664670658682635,"ST(ATR14/x2.0)+MACD(12,21,7)/V1.0"
14,2.0,8,26,9,1.0,4.696949872948719,13.504222611435914,38.28895461736592,-0.13374151256800995,100.97255782544538,41,0.43902439024390244,2.9680282846022985,17.664670658682635,"ST(ATR14/x2.0)+MACD(8,26,9)/V1.0"
10,1.5,8,21,9,1.0,4.69265234317267,9.692907416393178,24.854713133523404,-0.09755418710642584,99.35921464671516,40,0.375,1.2329790015085131,14.271457085828343,"ST(ATR10/x1.5)+MACD(8,21,9)/V1.0"
14,1.5,12,26,9,1.0,4.691124636746694,6.176617990903846,13.956773019171385,-0.0975541871064256,63.31473998307768,37,0.4594594594594595,1.1050210780648804,15.335994677312042,"ST(ATR14/x1.5)+MACD(12,26,9)/V1.0"
14,1.5,12,21,9,1.0,4.681899589290749,6.087450941301197,13.70229032159089,-0.0975541871064256,62.40071412475779,37,0.43243243243243246,1.0176141079641103,15.036593479707253,"ST(ATR14/x1.5)+MACD(12,21,9)/V1.0"
10,2.0,12,26,9,0.0,4.671613822135014,18.106639909633625,56.35312761690846,-0.15582086558785954,116.20163860163004,55,0.38181818181818183,1.687999162495657,27.67797737857618,"ST(ATR10/x2.0)+MACD(12,26,9)/V0.0"
7,2.0,8,21,9,1.0,4.670221917704991,14.60241460786251,42.42885240559715,-0.12673338583620516,115.2215299190002,44,0.45454545454545453,3.432966191655637,17.731204258150367,"ST(ATR7/x2.0)+MACD(8,21,9)/V1.0"
14,2.0,12,26,9,0.0,4.66067564606032,16.74337449048844,50.81202137114733,-0.13374151256801006,125.19205270670255,51,0.39215686274509803,1.9526349690827998,25.615435795076515,"ST(ATR14/x2.0)+MACD(12,26,9)/V0.0"
14,2.0,8,21,9,1.0,4.649571864087629,12.658626539401268,35.17952000627012,-0.13374151256801017,94.64994298583328,41,0.4146341463414634,2.536130950238171,16.26746506986028,"ST(ATR14/x2.0)+MACD(8,21,9)/V1.0"
7,2.0,12,26,9,0.0,4.646128706977951,17.70003133437629,54.68449334327981,-0.14319880418535125,123.60460295091588,58,0.39655172413793105,1.3459192489722982,28.80904856952761,"ST(ATR7/x2.0)+MACD(12,26,9)/V0.0"
14,2.0,8,26,7,0.0,4.616893855790608,14.908167222528395,43.60125781903375,-0.17205294106222013,86.64872062336383,57,0.38596491228070173,0.9289439341088059,21.09115103127079,"ST(ATR14/x2.0)+MACD(8,26,7)/V0.0"
10,1.5,8,26,7,1.0,4.586291955561973,9.503719032923701,24.228900967222792,-0.09755418710642584,97.41989877436738,44,0.36363636363636365,0.5657709570447602,14.97005988023952,"ST(ATR10/x1.5)+MACD(8,26,7)/V1.0"
7,2.0,8,26,9,1.0,4.5694508982897135,11.351630088990788,30.514014705471745,-0.12134302282561206,93.54992009144824,43,0.46511627906976744,2.384239315776419,18.396540252827677,"ST(ATR7/x2.0)+MACD(8,26,9)/V1.0"
10,2.0,8,21,9,1.0,4.568156533957768,13.14929040912134,36.97532921996321,-0.13374151256801012,98.31869070895003,44,0.4318181818181818,2.438712704522307,17.465069860279442,"ST(ATR10/x2.0)+MACD(8,21,9)/V1.0"
10,2.0,8,26,7,0.0,4.556866338191913,15.31914039221737,45.190387656732305,-0.15919215885282553,96.23049591519167,60,0.4,0.8324156780428382,22.288755821689954,"ST(ATR10/x2.0)+MACD(8,26,7)/V0.0"
7,1.5,8,21,7,1.0,4.553964584347831,10.842361692608439,28.744343010803703,-0.09781260719280192,110.84830477155846,45,0.4444444444444444,1.171170139308975,14.570858283433132,"ST(ATR7/x1.5)+MACD(8,21,7)/V1.0"
